,City,Country,Lat,Lng,Hotel Name
216,souillac,MU,-20.52,57.52,Auberge de Saint-Aubin
217,manaus,BR,-3.1,-60.02,Quality Hotel Manaus
218,lasa,IT,46.62,10.7,Untertelshof
219,buala,SB,-8.14,159.59,Maringe Lagoon Lodge
220,slonim,BY,53.09,25.32,"Gostinitsa ""Shchara"""
221,okhotsk,RU,59.38,143.3,Prozhivaniye V Okhotske
222,angoche,MZ,-16.23,39.91,HESADA APARTMENTS
223,qasigiannguit,GL,68.82,-51.19,Qasigiannguit
224,puerto asis,ES,36.59,-6.23,Duques de Medinaceli
225,half moon bay,LR,6.38,-10.7,Modern Hotel
226,faya,SA,18.39,42.45,
227,jizan,SA,17.33,42.67,
228,praya,CV,14.92,-23.51,Hotel VIP Praia
229,filadelfia,US,39.95,-75.16,Hampton Inn Philadelphia Center City-Convention Center
230,kashi,CN,39.45,75.98,Radisson Blu Hotel Kashgar
231,vanimo,PG,-2.67,141.3,Sandaun Surf Hotel
232,lake havasu city,US,42.33,-88.0,Holiday Inn Express & Suites Chicago-Libertyville
233,isangel,VU,-19.55,169.27,Tanna Ikamir Bungalows and Accommodation
234,rognan,NO,67.1,15.39,Rognan Hotell
235,fasa,IR,28.94,53.65,Jahangardi Hotel
236,whitehorse,CA,60.72,-135.05,Best Western Gold Rush Inn
237,ayan,RU,56.45,138.17,
238,margate,GB,51.38,1.39,Sands Hotel Margate
239,pisco,PE,-13.7,-76.22,Embassy Beach
240,maloy,NO,61.94,5.11,Thon Hotel Måløy
241,samarai,PG,-10.62,150.67,Nuli Sapi
242,birao,CF,10.28,22.79,
243,santiago del estero,CL,-33.46,-70.65,Hotel Panamericano
244,chimbote,PE,-9.09,-78.58,Hotel Maresta Lodge
245,abapo,BO,-18.83,-63.47,
246,tanakpur,IN,29.08,80.12,Hotel Siddharth
247,pocoes,BR,-14.53,-40.37,Pousada Porto Brasil
248,acheng,CN,45.55,126.98,Lanshe Hotel
249,cayenne,GF,4.93,-52.33,Royal Amazonia
250,spring valley,US,30.08,-95.42,Best Western Plus Spring Inn & Suites
251,trairi,BR,-3.28,-39.27,Rede Beach: Hotel em Guajiru
252,oktyabrskoye,RU,43.06,44.74,Aleksandrovskiy
253,newport,GB,51.59,-3.0,Newport Central Hotel- Book Direct with Us
254,hailar,CN,49.2,119.7,Hulunbeir Hotel
255,tual,ID,-5.67,132.75,Grand Vilia Hotel
256,ranot,TH,7.78,100.32,ธารินทร์โฮเต็ล
257,san quintin,ML,13.3,-4.9,Hôtel Teriya
258,acarau,BR,-2.89,-40.12,Hotel Acaraú Riviera
259,tibati,CM,6.47,12.63,Tibati Hotel
260,nizhnevartovsk,RU,60.93,76.55,Mini-hotel
261,datong,CN,40.09,113.29,Great Palace Hotel
262,chapais,CA,49.78,-74.85,Hôtel Opémiska
263,segezha,RU,63.74,34.32,Hotel Segezha
264,talnakh,RU,69.49,88.4,Talnakh Hotel
265,synya,RU,65.37,58.04,
266,torbay,CA,47.67,-52.73,
