City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
caravelas,93,BR,1587250216,78,-17.71,-39.25,76.51,17.25
hojai,26,IN,1587250581,77,26.0,92.87,70.93,2.59
agadez,0,NE,1587250581,12,19.75,10.25,81.91,8.37
balabac,36,PH,1587250459,75,7.99,117.06,84.81,8.88
cusset,86,FR,1587250581,82,46.13,3.46,55.4,1.12
shingu,21,JP,1587250091,55,33.73,135.98,58.98,5.95
thetford mines,90,GB,1587250581,87,52.42,0.75,48.2,8.05
quito,75,EC,1587250466,67,-0.23,-78.52,60.8,3.36
banda aceh,62,IN,1587250278,30,25.48,80.33,84.43,7.99
aripuana,86,BR,1587250306,92,-9.17,-60.63,73.2,0.65
mujiayingzi,100,CN,1587250477,35,42.12,118.78,52.2,10.22
port hardy,98,CD,1587250026,60,-7.03,29.76,73.72,3.42
mattru,88,SL,1587250582,83,7.62,-11.83,76.95,3.04
cajabamba,69,PE,1587250582,33,-7.62,-78.05,56.14,3.8
camaguey,26,CU,1587250582,63,21.38,-77.92,80.51,3.96
morondava,0,MG,1587250292,71,-20.28,44.28,76.55,5.97
narsaq,93,GL,1587250169,50,60.92,-46.05,30.2,1.12
oistins,20,BB,1587250582,69,13.07,-59.53,80.6,16.11
karratha,89,AU,1587250581,49,-20.74,116.85,84.7,7.85
shu,0,KZ,1587250583,33,43.6,73.76,48.99,1.99
namibe,70,AO,1587250207,69,-15.2,12.15,74.98,5.79
muroto,75,JP,1587250583,51,33.28,134.15,59.0,18.34
petropavlovsk-kamchatskiy,5,RU,1587250583,39,53.05,158.65,44.6,6.71
labuhan,82,ID,1587250230,82,-6.88,112.21,80.65,3.74
kizner,42,RU,1587250583,91,56.27,51.51,32.7,5.79
kingsville,90,US,1587250583,83,27.52,-97.86,73.0,5.82
paamiut,100,GL,1587250193,93,61.99,-49.67,26.33,16.58
hasaki,20,JP,1587250273,58,35.73,140.83,60.01,9.17
sorland,100,NO,1587250583,91,67.67,12.69,40.77,11.61
obihiro,75,JP,1587250584,81,42.92,143.2,46.4,6.93
talcahuano,75,CL,1587250584,93,-36.72,-73.12,60.8,9.17
gladstone,40,AU,1587250418,88,-23.85,151.25,75.2,2.24
kosonsoy,6,UZ,1587250584,58,41.26,71.55,55.4,6.93
grand river south east,1,US,1587250254,20,38.88,-109.5,66.2,10.29
patos de minas,65,BR,1587250584,73,-7.02,-37.28,76.06,4.68
moroni,80,KM,1587250421,78,-11.7,43.26,81.48,14.5
barillas,21,GT,1587250584,31,15.8,-91.32,73.65,3.49
altay,89,CN,1587250584,36,47.87,88.12,46.08,4.18
gorele,75,TR,1587250585,93,41.03,39.0,50.0,3.36
chimore,0,BO,1587250585,62,-16.98,-65.13,71.51,2.01
moussoro,14,TD,1587250585,13,13.64,16.49,81.97,12.39
kathu,20,TH,1587250295,94,7.92,98.33,77.0,4.7
graaff-reinet,0,ZA,1587250319,23,-32.25,24.53,65.07,5.48
marsabit,100,KE,1587250585,69,2.33,37.99,66.63,5.32
sakaiminato,75,JP,1587250585,87,35.55,133.23,53.6,1.12
sao raimundo das mangabeiras,30,IN,1587250585,25,20.51,76.21,81.41,3.51
ballina,12,AU,1587250297,83,-28.87,153.57,69.8,8.05
xining,100,CN,1587250586,26,36.62,101.77,45.3,2.59
alofi,51,NU,1587250322,74,-19.06,-169.92,82.4,14.99
scarborough,35,GB,1587250586,92,54.28,-0.4,39.0,8.08
ust-nera,93,RU,1587250586,76,64.57,143.2,0.48,6.11
nabire,100,ID,1587250146,89,-3.37,135.48,76.84,5.5
aklavik,75,CA,1587250302,73,68.22,-135.01,26.6,6.93
tucupita,36,VE,1587250586,64,9.06,-62.05,79.75,7.54
san cristobal,99,ML,1587250307,21,13.3,-4.9,94.12,8.41
pevek,30,RU,1587250268,91,69.7,170.31,3.22,7.29
auki,73,SB,1587250340,73,-8.77,160.7,83.61,1.88
kutum,7,SD,1587250291,20,14.2,24.67,64.98,5.95
saint-augustin,33,CA,1587250104,92,51.23,-58.65,24.73,13.33
ancud,40,CL,1587250024,93,-41.87,-73.82,55.4,8.05
poum,52,NC,1587250054,75,-20.23,164.02,78.94,12.77
taksimo,83,RU,1587250587,77,56.34,114.88,17.55,7.2
thayetmyo,0,MM,1587250588,57,19.32,95.18,75.52,2.8
puerto parra,20,ES,1587250588,77,36.59,-6.23,62.6,6.93
kudahuvadhoo,79,MV,1587250588,79,2.67,72.89,83.86,12.75
marshall,1,US,1587250588,62,34.38,-86.33,61.0,3.36
saint-georges,20,GD,1587250222,69,12.06,-61.75,82.4,17.22
olafsvik,100,IS,1587250266,85,64.89,-23.71,35.06,2.91
mahajanga,40,MG,1587250588,88,-15.72,46.32,75.2,6.93
chumikan,100,RU,1587250588,94,54.72,135.31,21.02,12.17
deh rawud,76,IR,1587250589,94,26.56,53.99,73.4,4.7
lincoln,1,US,1587250584,18,40.8,-96.67,73.4,21.92
gizo,44,SB,1587250589,65,-8.1,156.84,86.07,2.35
bafoulabe,61,ML,1587250589,20,13.81,-10.83,85.39,11.72
mao,100,ES,1587250564,93,39.89,4.27,62.6,3.36
iqaluit,20,CA,1587250101,71,63.75,-68.51,5.0,5.82
oussouye,54,SN,1587250589,73,12.48,-16.55,78.8,13.87
constitucion,76,CL,1587250000,91,-35.33,-72.42,59.74,10.0
luau,89,AO,1587250024,70,-10.71,22.22,65.28,3.71
jimeta,92,NG,1587250444,37,9.28,12.47,84.92,3.4
aquiraz,40,BR,1587250397,83,-3.9,-38.39,80.6,5.82
omboue,96,GA,1587250590,87,-1.57,9.26,79.25,4.54
gorontalo,29,ID,1587250590,77,0.54,123.06,82.58,1.68
dasoguz,0,TM,1587250590,47,41.84,59.97,57.2,6.93
kisanga,92,TZ,1587250590,88,-7.44,37.7,71.92,2.42
salihorsk,81,BY,1587250310,80,52.79,27.54,35.26,7.34
anloga,20,GH,1587250590,83,5.79,0.9,84.2,6.93
dustlik,39,UZ,1587250591,48,40.52,68.04,59.5,0.92
fenton,75,US,1587250591,37,42.8,-83.7,55.99,12.75
portland,90,US,1587250022,76,45.52,-122.68,53.6,6.93
salalah,40,OM,1587250591,69,17.02,54.09,82.4,4.7
mana,80,GF,1587250157,87,5.66,-53.78,78.55,7.87
coahuayana,20,MX,1587250269,43,18.73,-103.68,87.8,11.41
hovd,1,MN,1587250569,40,48.01,91.64,34.7,3.38
byron bay,90,US,1587250591,34,44.03,-92.65,64.4,13.87
zhezkazgan,57,KZ,1587250495,48,47.8,67.71,52.39,7.54
muros,16,ES,1587250035,91,42.78,-9.06,53.01,1.01
coquimbo,20,CL,1587250164,82,-29.95,-71.34,60.8,10.29
adrar,80,MR,1587250569,35,20.5,-10.07,74.77,10.36
grand forks,1,US,1587250505,20,38.88,-109.5,66.2,10.29
chernyshevskiy,55,RU,1587250290,89,63.01,112.47,12.79,7.45
okha,56,RU,1587250592,86,53.57,142.95,26.1,2.26
qiyang,100,CN,1587250592,87,26.59,111.85,61.39,6.69
kosa,100,RU,1587250526,92,59.94,55.0,32.88,8.55
